datetime,runoff_5,runoff_120,sc_5,sc_120,runoff,sc
1/24/99,87.4,20.56,88.78,106.14,196,72.15
1/25/99,101.2,22.17,85.17,105.42,352,51.14
2/3/99,59,30.34,68.08,97.01,242,66.05
2/4/99,93.8,32.35,69.07,96.04,189,61.04
3/4/99,102.4,47.66,68.99,85.35,304,55.76
3/5/99,154.4,50.15,64.78,84.87,253,48.75
3/22/99,106.6,62.5,71.01,79.16,221,65.58
3/23/99,136,64.2,68.8,78.9,279,55.57
9/17/99,11.24,6.2,132.02,137.82,230,92.79
2/26/00,54.2,33.48,91.4,88.11,190,79.17
2/28/00,110,36.07,88.78,87.74,259,74.15
2/29/00,155,38.08,84.77,87.48,249,66.14
3/12/00,73.4,46.22,87.05,85.94,217,85.02
3/13/00,101.4,47.84,87.04,85.81,300,68.01
3/17/00,189.4,53.15,75.2,85.03,215,75.97
3/18/00,189,54.8,73.39,84.83,211,71.96
4/10/00,79.8,68.18,90.16,82.68,185,71.73
4/22/00,57,72.31,95.24,82.67,559,52.61
4/23/00,158.2,76.71,86.63,82.48,485,44.6
4/24/00,245,80.51,76.22,82.22,319,49.59
4/25/00,297.6,82.96,66.81,81.94,203,55.58
6/7/00,39.4,97.37,104.38,85.11,465,49.15
6/8/00,127.4,101.08,92.17,84.82,306,47.14
12/18/00,17.98,8.33,81.83,100.53,291,43.2
3/22/01,83.2,31.18,94.09,76.83,484,59.26
3/23/01,165.2,35.16,87.48,76.6,638,43.25
3/24/01,276.8,40.43,77.47,76.23,415,53.24
3/25/01,343.6,43.85,69.06,75.95,309,61.23
3/26/01,388.4,46.4,62.05,75.72,233,64.22
3/27/01,415.8,48.3,56.24,75.44,185,69.21
3/31/01,178,53.1,77,75.33,231,67.17
4/1/01,177.6,54.92,77.59,75.24,196,71.16
4/6/01,161.6,61.36,74.74,75.11,208,64.11
4/7/01,164,63.06,73.33,74.99,266,58.1
4/8/01,186.2,65.25,69.72,74.82,330,57.09
4/9/01,224.2,67.97,65.91,74.66,355,55.08
4/10/01,265.6,70.9,61.5,74.44,461,49.07
4/11/01,324,74.7,56.69,74.12,424,47.06
4/12/01,367.2,78.17,53.28,73.77,373,50.05
4/13/01,388.6,81.21,51.67,73.52,352,50.04
4/14/01,393,84.09,50.26,73.29,325,50.03
4/15/01,387,86.73,49.25,73.03,260,52.02
