agency_cd,site_no,datetime,tz_cd,72359_00060,72359_00060_cd
USGS,4174500,8/21/24 13:00,EST,751,P
USGS,4174500,8/21/24 13:15,EST,757,P
USGS,4174500,8/21/24 13:30,EST,757,P
USGS,4174500,8/21/24 13:45,EST,757,P
USGS,4174500,8/21/24 14:00,EST,757,P
USGS,4174500,8/21/24 14:15,EST,757,P
USGS,4174500,8/21/24 14:30,EST,751,P
USGS,4174500,8/21/24 14:45,EST,757,P
USGS,4174500,8/21/24 15:00,EST,763,P
USGS,4174500,8/21/24 15:15,EST,763,P
USGS,4174500,8/21/24 15:30,EST,757,P
USGS,4174500,8/21/24 15:45,EST,757,P
USGS,4174500,8/21/24 16:00,EST,745,P
USGS,4174500,8/21/24 16:15,EST,745,P
USGS,4174500,8/21/24 16:30,EST,740,P
USGS,4174500,8/21/24 16:45,EST,740,P
USGS,4174500,8/21/24 17:00,EST,740,P
USGS,4174500,8/21/24 17:15,EST,740,P
USGS,4174500,8/21/24 17:30,EST,740,P
USGS,4174500,8/21/24 17:45,EST,740,P
USGS,4174500,8/21/24 18:00,EST,734,P
USGS,4174500,8/21/24 18:15,EST,734,P
USGS,4174500,8/21/24 18:30,EST,734,P
USGS,4174500,8/21/24 18:45,EST,728,P
USGS,4174500,8/21/24 19:00,EST,728,P
USGS,4174500,8/21/24 19:15,EST,728,P
USGS,4174500,8/21/24 19:30,EST,728,P
USGS,4174500,8/21/24 19:45,EST,728,P
USGS,4174500,8/21/24 20:00,EST,728,P
USGS,4174500,8/21/24 20:15,EST,728,P
USGS,4174500,8/21/24 20:30,EST,728,P
USGS,4174500,8/21/24 20:45,EST,728,P
USGS,4174500,8/21/24 21:00,EST,728,P
USGS,4174500,8/21/24 21:15,EST,723,P
USGS,4174500,8/21/24 21:30,EST,711,P
USGS,4174500,8/21/24 21:45,EST,711,P
USGS,4174500,8/21/24 22:00,EST,711,P
USGS,4174500,8/21/24 22:15,EST,711,P
USGS,4174500,8/21/24 22:30,EST,711,P
USGS,4174500,8/21/24 22:45,EST,711,P
USGS,4174500,8/21/24 23:00,EST,711,P
USGS,4174500,8/21/24 23:15,EST,711,P
USGS,4174500,8/21/24 23:30,EST,711,P
