year,month,ppt,tmean,tmax,tmin,tdmean,vpdmax,vpdmin,Q,PET
1980,1,336.0515999,4.622550201,8.745249987,0.5008,-3.860549951,6.400100017,1.615999997,423.6129032,19.27244864
1980,2,418.1618988,5.514000213,10.94060006,0.088349989,-5.08145001,8.78264997,1.898049998,1685.965517,29.87276632
1980,3,154.3328499,4.030850166,9.760900021,-1.698250012,-5.708049971,8.08755002,1.454299992,609.1612903,58.05409902
1980,4,19.93684988,8.772800493,16.2754498,1.271500015,-5.28574992,15.16410003,2.414799976,236.5333333,115.3922553
1980,5,26.09090016,8.761500382,15.23099985,2.293150005,0.081100018,11.65045004,1.135849994,174.2903226,116.8885749
1980,6,0,15.53665071,24.01140003,7.062999988,-3.979750016,26.19169989,5.411449981,57.33333333,185.0322638
1980,7,12.32735009,21.24310102,28.9194499,13.56794991,2.958250007,33.29235001,7.271550012,24.58064516,202.2322571
1980,8,1.095799975,18.81825085,27.35354977,10.28429997,1.655099994,29.63504982,4.816400027,13.10645161,189.652528
1980,9,0,17.0563508,25.50950003,8.604150057,-0.291849977,26.77139997,4.574500012,9.606666667,147.9355637
1980,10,15.06614996,12.60410066,19.90165005,5.307399982,-4.305599982,21.12359991,4.346449995,10.56774194,92.63604019
1980,11,0.046450001,8.063200402,15.40290027,0.724200004,-10.40329998,15.56910005,3.628649986,14.9,60.12249688
1980,12,20.38224988,6.664600325,12.66245008,0.667600013,-8.293949986,11.36119995,3.250150013,16.74193548,43.22728065
1981,1,84.24040051,5.331950223,11.44425001,-0.779550012,-4.063349986,8.88870008,1.260699984,19.25806452,42.59855812
1981,2,38.92790022,4.617500234,11.38835006,-2.152849985,-7.947850001,10.27280002,1.568900001,24,53.80514118
1981,3,100.0561491,4.548700213,10.6618,-1.563300028,-3.415649979,7.730149984,0.739249998,50.51612903,66.14720705
1981,4,22.32810003,9.849400449,17.44059987,2.259750016,-3.71370001,15.4430501,2.291400027,29.93333333,121.1247363
1981,5,11.60550004,12.25425062,19.92894993,4.580899984,-1.340349999,17.21530008,2.921399999,13.25806452,152.9613135
1981,6,0,19.68790073,28.69435005,10.68299997,-0.778999992,33.60900011,5.829999995,5.906666667,218.5126881
1981,7,2.321349991,20.36990108,28.3309001,12.41024995,0.939200004,31.54410038,6.897349977,2.24516129,204.4182447
1981,8,7.766249946,21.45840101,29.95115004,12.96694999,2.313699995,34.86605024,7.652900052,1.477419355,202.113371
1981,9,0,17.54165092,25.75490017,9.32994988,1.393500014,26.40254993,4.712649989,3.546666667,146.7932138
1981,10,20.39635019,9.510950422,16.51295009,2.510399997,-4.382250011,14.20539989,2.693150008,4.412903226,80.06616834
1981,11,47.17134981,7.805000329,14.44339995,1.167700002,-5.216999948,12.25744996,2.569550002,6.553333333,53.29018258
1981,12,11.01704995,7.353500366,14.83674998,-0.128700009,-6.209300065,12.71960006,2.255350029,8.825806452,53.11574502
1982,1,169.3476013,1.878200081,7.47889998,-3.721700038,-7.656499982,6.806049967,1.207399994,18,30.82471102
1982,2,56.13964949,4.715800202,10.64579997,-1.213050014,-5.343599987,8.668099928,1.479349995,84,47.98379722
1982,3,247.5986984,3.962000179,9.622299933,-1.697299973,-4.416599989,7.470850039,1.002949995,131.2258065,51.84429753
1982,4,58.70220022,7.724700379,15.03440008,0.416049997,-4.306750053,12.1651,1.720599991,341.4666667,105.7475885
1982,5,12.14800003,11.38065057,18.98430018,3.778250015,-2.090050007,15.78639984,2.027399987,67.61290323,147.289362
1982,6,2.36689999,14.5360507,23.10690002,5.966350019,-1.580800019,22.07759991,3.079400027,17.13333333,180.6518495
1982,7,15.62969997,18.48350086,26.71605015,10.25229988,2.245999996,27.66404991,4.436150002,6.783870968,197.6113693
1982,8,15.33624994,19.59760084,27.19124985,12.00530009,3.012149976,27.77150021,5.238750029,3.303225806,175.7335619
1982,9,76.29864988,16.1535008,23.34110003,8.967400002,1.031199974,22.66969986,4.000699985,2.723333333,120.9415338
1982,10,13.50475004,10.3489006,16.84225001,3.856700008,-7.31414994,15.45560012,3.476900005,6.361290323,78.30529642
1982,11,134.6601009,5.030200231,10.9848,-0.923599991,-8.727099967,9.723800039,2.092549998,64.28,40.23167836
1982,12,141.8453987,3.217300141,8.740599966,-2.305099978,-9.069850039,7.739499974,1.743000025,117.2580645,30.9315719
1983,1,169.9188488,4.135400164,9.826250005,-1.554200006,-7.944550037,8.50504992,1.880350006,142.9032258,35.00663081
1983,2,147.2518991,4.248150206,9.745350003,-1.248099983,-4.928299969,7.35739994,1.210399997,353.5357143,40.4583688
1983,3,257.3202003,4.560550213,9.448949957,-0.326800025,-2.180849969,5.514799976,0.554649998,1041,44.96222044
1983,4,97.90280151,4.630250168,10.70425,-1.442700008,-5.595150054,7.949699974,0.938450006,368.1666667,77.1497638
1983,5,9.115400076,11.96025057,20.07994995,3.841949984,-4.184550051,18.65820003,2.878550017,235.0967742,158.3423141
1983,6,0.33595,15.26645079,23.98370028,6.550449991,-1.980800039,22.80684977,3.624699986,58.43333333,187.4383197
1983,7,0,18.7018508,27.07444992,10.33079996,1.016600002,28.92684994,4.694699991,19.5483871,203.197517
1983,8,71.82404938,19.01070099,26.63030005,11.39239995,4.85430001,25.64144993,3.274499989,29.18064516,167.2527875
1983,9,50.5436491,17.83715081,25.00880022,10.66665003,3.650950003,23.57205,3.716649985,9.793333333,129.1279109
1983,10,68.04134998,10.97285047,17.21615,4.730900007,-0.600800008,13.38909998,2.054500008,42,74.46797199
1983,11,112.6947994,6.396350288,11.88899999,0.904900007,-4.346500024,8.698699927,1.654800004,34.16666667,40.63869198
1983,12,126.4556999,5.009850228,10.17445009,-0.153950005,-4.879250017,7.021700025,1.602400005,165.7741935,32.21098091
1984,1,3.745499963,4.80510025,10.60780005,-0.996749991,-8.804949975,8.986350012,2.172949976,40.38709677,42.63735409
1984,2,4.423899975,4.886750221,11.38130007,-1.606950005,-12.04384999,10.70799999,2.29379999,21.72413793,54.06779418
1984,3,8.922499943,7.490700316,14.99575005,-0.013649988,-7.036249971,12.6825501,1.823199987,17.77419355,94.71308738
1984,4,15.70395003,8.156750345,15.72499995,0.589450003,-6.335599935,13.87065001,1.864900011,16.46666667,113.69688
1984,5,0,15.61840072,24.59404993,6.644200063,-2.257899972,25.50594997,3.957249999,8.15483871,193.4750207
1984,6,0.796799999,16.28935075,24.71050005,7.869749999,-0.513449994,24.55900002,3.728849995,3.383333333,188.3160958
1984,7,110.3942989,20.18040113,27.3958499,12.96634998,7.61370008,24.22694988,3.334499991,3.312903226,175.3175901
1984,8,30.74769967,20.1225008,27.39610004,12.85024996,6.18744998,25.71199999,4.87895,4.1,170.7085937
1984,9,14.71045007,18.77045088,26.01730013,11.52495003,4.6671,27.35870018,4.701499963,3.313333333,136.9056415
1984,10,9.474300092,9.725150585,16.64944997,2.802150008,-4.600599985,12.5236001,2.158899969,5.148387097,80.61954813
1984,11,62.31545,4.969650233,10.15654995,-0.216299988,-7.732800102,8.763199973,2.300250018,8.723333333,38.18583495
1984,12,192.9383495,1.457800064,6.41224997,-3.496449992,-7.498299956,5.534500003,1.042749992,56.43225806,24.06448664
1985,1,42.88710041,1.998900114,6.961300063,-2.962999991,-8.998500013,6.466799974,1.484550005,35.16129032,31.74078759
1985,2,39.03580008,3.387150139,9.798350048,-3.023100019,-9.074299932,9.278149986,1.678000003,42.89285714,48.60011992
1985,3,69.79924974,4.189200199,10.54504995,-2.165849977,-6.216150045,8.321550012,1.143599996,54.64516129,68.86576749
1985,4,6.935799944,10.82920046,18.89565001,2.763950007,-4.151800001,16.86980009,2.330649984,48.73333333,132.777165
1985,5,0.652899993,13.07875051,21.82895021,4.329749972,-4.407099969,21.10670013,3.037949979,11.67419355,174.9351758
1985,6,3.967800004,18.2009006,27.19385014,9.209300065,-1.338250011,31.24975004,5.676749992,4.07,208.9865543
1985,7,30.96394968,21.10435104,29.06745024,13.14254994,2.852200027,32.56605024,6.756750059,1.046774194,204.9570018
1985,8,0,19.74670105,28.57560005,10.91919999,-0.10345,33.22955027,5.876399994,0.356129032,199.7542873
1985,9,32.23310001,14.01270065,21.38614998,6.640300012,-1.359799987,20.30965023,2.92725004,1.375666667,118.9351557
1985,10,21.84865003,11.44705057,18.79525023,4.099999994,-2.696299997,16.57939997,2.393700004,2.974193548,89.09847149
1985,11,158.6344997,5.111500239,10.34359994,-0.119650014,-5.279499978,8.094799948,1.568550003,39.46,35.05726415
1985,12,31.98200016,4.633400226,10.75939999,-1.491600023,-9.535900068,9.556750035,2.261749995,20.90322581,39.80701046
1986,1,56.85064979,7.656950378,14.66064992,0.65435001,-6.034699988,12.06989999,2.067700011,36.2516129,53.66239
1986,2,163.1346497,5.039800215,10.36199999,-0.281450015,-3.441699982,7.399549961,1.116149995,274.4285714,40.05759968
1986,3,149.1905991,7.225650406,13.85765004,0.594849994,-3.268950009,11.15575004,1.575999999,117.1612903,76.58173814
1986,4,23.34389987,8.755050397,15.92920008,1.582199997,-4.688899988,14.34629989,2.620350009,51.6,111.1387954
1986,5,0,13.00530071,21.33420019,4.677350026,-3.841949973,21.71359997,4.631500006,15.48064516,168.1441682
1986,6,0,17.89290085,27.3199501,8.467199993,-1.272749975,30.59460001,5.275800014,4.086666667,215.1590988
1986,7,5.195800042,18.76745071,26.10665007,11.42955008,2.813950036,26.29694986,5.838600016,1.263225806,183.5668597
1986,8,16.68750023,21.53380108,29.37949963,13.68969998,4.646400023,31.75240021,7.405800033,0.992903226,189.58217
1986,9,104.4299507,12.97065077,19.73310013,6.209449983,-2.057300013,17.84305019,3.885500014,3.05,101.8512957
1986,10,12.68710005,10.13920045,16.90844989,3.371649994,-2.77875004,13.86540012,2.626249999,4.835483871,80.27815376
1986,11,31.87364969,7.737700415,13.42879992,2.047900026,-5.133099985,10.59745002,2.498900008,8.143333333,47.62327376
1986,12,38.93745003,3.991050202,8.939250016,-0.956100011,-8.913450074,8.00265007,2.396099985,8.993548387,32.41789508
1987,1,87.09290066,2.109750084,7.740450048,-3.520350019,-10.01110005,7.595449996,1.589550006,17.2516129,33.95306633
1987,2,53.2343998,3.098550144,8.364900017,-2.166849989,-7.946350026,7.853649974,1.831699997,11.35714286,40.45061021
1987,3,79.9633502,4.164750206,10.08495009,-1.754499999,-5.853649938,8.295499992,1.37299999,69.29032258,64.34542237
1987,4,15.47315018,11.28905056,19.49235001,3.087200005,-3.512700021,18.177,2.300150013,33.5,136.047152
1987,5,7.953200048,11.66325054,18.56219988,4.765899962,0.597849989,14.41410012,1.805750018,8.751612903,138.4442186
1987,6,2.263200018,17.53720083,25.82789974,9.248249912,-0.515550013,27.0757,4.612900043,2.641,192.9079909
1987,7,8.708399987,17.72730079,25.51314993,9.942849994,-0.151800007,25.63879995,4.723850012,0.654193548,186.0540619
1987,8,11.82784996,19.35750093,27.22455015,11.49169989,1.137250023,29.13675013,6.485599947,0.531935484,179.7763846
1987,9,22.63059993,16.94340067,24.69614992,9.192099977,-0.329099998,24.93809986,4.91444999,1.243,136.1737096
1987,10,97.74059982,12.94375062,19.51099997,6.377949941,0.767150003,16.31559992,3.067349952,7.34516129,81.17986388
1987,11,78.26715031,5.671700191,10.97434993,0.370349968,-4.206399969,8.348000002,1.781449997,22.62333333,39.51525242
1987,12,76.83394966,1.343150051,6.278600025,-3.592150006,-7.573000073,6.01415,1.257599998,12.41935484,27.19882458
1988,1,78.40365047,3.676400185,9.919300032,-2.565749986,-7.724050045,8.433049965,1.7088,33.06451613,40.32974264
1988,2,26.10585002,5.787350309,12.8818501,-1.30625,-8.679949927,11.54395008,2.159249997,26.34482759,59.3533478
1988,3,22.51039991,7.107300401,14.52425008,-0.308650007,-7.349049997,13.00775003,2.156150001,32.70967742,91.59225331
