STATION,NAME,DATE,T
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/1/23,4.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/2/23,4.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/3/23,5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/4/23,8.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/5/23,2.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/6/23,1.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/7/23,-0.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/8/23,-1.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/9/23,-0.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/10/23,-0.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/11/23,2.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/12/23,3.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/13/23,-2.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/14/23,-5.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/15/23,-4.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/16/23,-1.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/17/23,4.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/18/23,3.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/19/23,5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/20/23,1.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/21/23,-0.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/22/23,-0.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/23/23,-1.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/24/23,-1.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/25/23,-0.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/26/23,-2.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/27/23,-2.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/28/23,-2.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/29/23,-1.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/30/23,-8.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",1/31/23,-14.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/1/23,-12.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/2/23,-8.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/3/23,-15.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/4/23,-8.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/5/23,1.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/6/23,-1.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/7/23,3.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/8/23,1.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/9/23,7.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/10/23,0.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/11/23,-1.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/12/23,1.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/13/23,2.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/14/23,1.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/15/23,9.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/16/23,1.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/17/23,-6.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/18/23,-0.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/19/23,6.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/20/23,1.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/21/23,-0.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/22/23,-0.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/23/23,2.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/24/23,-2.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/25/23,-1.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/26/23,2.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/27/23,-2.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",2/28/23,4.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/1/23,5.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/2/23,1.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/3/23,0.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/4/23,1.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/5/23,3.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/6/23,3.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/7/23,0.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/8/23,0.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/9/23,2.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/10/23,0.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/11/23,1.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/12/23,-1.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/13/23,-2.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/14/23,-3.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/15/23,-0.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/16/23,5.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/17/23,4.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/18/23,-3.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/19/23,-2.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/20/23,2.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/21/23,5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/22/23,6.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/23/23,6.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/24/23,3.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/25/23,5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/26/23,4.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/27/23,3.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/28/23,3.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/29/23,1.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/30/23,-0.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",3/31/23,8.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/1/23,6.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/2/23,1.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/3/23,9.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/4/23,10.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/5/23,16.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/6/23,5.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/7/23,3.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/8/23,4.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/9/23,6.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/10/23,8.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/11/23,12.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/12/23,16.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/13/23,17.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/14/23,16.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/15/23,17.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/16/23,13.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/17/23,3.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/18/23,4.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/19/23,4.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/20/23,12.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/21/23,11.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/22/23,6.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/23/23,4.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/24/23,2.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/25/23,0.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/26/23,3.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/27/23,6.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/28/23,8.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/29/23,11.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",4/30/23,7.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/1/23,6.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/2/23,4.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/3/23,7.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/4/23,10
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/5/23,11.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/6/23,12.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/7/23,19.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/8/23,13.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/9/23,13.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/10/23,13.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/11/23,16.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/12/23,16.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/13/23,18.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/14/23,15.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/15/23,13.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/16/23,13.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/17/23,8.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/18/23,8.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/19/23,12.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/20/23,11.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/21/23,14.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/22/23,15.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/23/23,16.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/24/23,13.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/25/23,11.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/26/23,12.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/27/23,13.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/28/23,15.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/29/23,18.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/30/23,20
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",5/31/23,21.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/1/23,20.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/2/23,21.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/3/23,23.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/4/23,15.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/5/23,16.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/6/23,15
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/7/23,12.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/8/23,13.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/9/23,14.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/10/23,16.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/11/23,16.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/12/23,12.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/13/23,13.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/14/23,16.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/15/23,15.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/16/23,14.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/17/23,17.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/18/23,16.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/19/23,18.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/20/23,23.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/21/23,21.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/22/23,19.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/23/23,19.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/24/23,23.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/25/23,21.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/26/23,20
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/27/23,18.3
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/28/23,17.5
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/29/23,19.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",6/30/23,22.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/1/23,22.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/2/23,22.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/3/23,23.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/4/23,24.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/5/23,23.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/6/23,24.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/7/23,21.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/8/23,21.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/9/23,19.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/10/23,19.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/11/23,20.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/12/23,21.1
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/13/23,19.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/14/23,19.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/15/23,20.8
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/16/23,19.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/17/23,18.9
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/18/23,16.7
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/19/23,19.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/20/23,21.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/21/23,19.4
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/22/23,19.2
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/23/23,18.6
USW00094889,"ANN ARBOR MUNICIPAL AIRPORT, MI US",7/24/23,20.3
